,Date,Temperature,Dew point,Winds,Visibility,Clouds,Altimeter,Relative humidity,Density altitude,Remarks,Flight conditions,Raw data,Heat index,Present weather,Wind gusts,Winds variable
14,2024-04-19 14:00:00,26.0°C (78.8°F),25.0°C (77.0°F),"17.5 kts (9 m/s, 20.1 mph) South-Southeast (160°)",6.2 mi. (10 km),"Few clouds 1,800 ft. (549 m) Few clouds with cumulonimbus 4,000 ft. (1,219 m) Ceiling: Broken clouds 5,000 ft. (1,524 m)",29.71 in.Hg (1006 mB),94 %,"1,939 ft. (591 m)",,Visual Meteorological Conditions,ZGSZ 190600Z 16009MPS 9999 -TSRA FEW018 FEW040CB BKN050 26/25 Q1006 RESHRA BECMG AT0620 -SHRA,,"Light thunderstorm with rain, recent rain showers",,
15,2024-04-19 15:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"15.6 kts (8 m/s, 17.9 mph) South-Southeast (160°)",6.2 mi. (10 km),"Few clouds 1,800 ft. (549 m) Ceiling: Broken clouds 5,000 ft. (1,524 m)",29.71 in.Hg (1006 mB),84 %,"2,028 ft. (618 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 190700Z 16008MPS 9999 -SHRA FEW018 BKN050 27/24 Q1006 NOSIG,30.1°C (86.2°F),Light rain showers,,
16,2024-04-19 16:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"13.6 kts (7 m/s, 15.7 mph) South-Southeast (150°)",6.2 mi. (10 km),"Few clouds 1,800 ft. (549 m) Ceiling: Broken clouds 5,300 ft. (1,615 m)",29.68 in.Hg (1005 mB),84 %,"2,062 ft. (628 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 190800Z 15007MPS 9999 -SHRA FEW018 BKN053 27/24 Q1005 NOSIG,30.1°C (86.2°F),Light rain showers,,
17,2024-04-19 17:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"11.7 kts (6 m/s, 13.4 mph) South (170°)",6.2 mi. (10 km),"Few clouds with cumulonimbus 2,300 ft. (701 m) Scattered clouds 5,300 ft. (1,615 m)",29.71 in.Hg (1006 mB),84 %,"2,028 ft. (618 m)",,Visual Meteorological Conditions,ZGSZ 190900Z 17006MPS 9999 TS FEW023CB SCT053 27/24 Q1006 BECMG AT0920 2500 TSRA,30.1°C (86.2°F),Thunderstorm,,
18,2024-04-19 18:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"13.6 kts (7 m/s, 15.7 mph) South-Southeast (160°)",6.2 mi. (10 km),"Few clouds with towering cumulus 2,300 ft. (701 m) Scattered clouds 5,300 ft. (1,615 m)",29.71 in.Hg (1006 mB),84 %,"2,028 ft. (618 m)",,Visual Meteorological Conditions,ZGSZ 191000Z 16007MPS 9999 FEW023TCU SCT053 27/24 Q1006 BECMG AT1020 SHRA,30.1°C (86.2°F),,,
19,2024-04-19 19:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"13.6 kts (7 m/s, 15.7 mph) South (170°)",6.2 mi. (10 km),"Few clouds with cumulonimbus 2,300 ft. (701 m) Scattered clouds 5,000 ft. (1,524 m)",29.71 in.Hg (1006 mB),84 %,"2,028 ft. (618 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 191100Z 17007MPS 9999 FEW023CB SCT050 27/24 Q1006 NOSIG,30.1°C (86.2°F),,,
20,2024-04-19 20:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"11.7 kts (6 m/s, 13.4 mph) South-Southeast (160°)",6.2 mi. (10 km),"Few clouds 2,300 ft. (701 m) Ceiling: Broken clouds 5,300 ft. (1,615 m)",29.74 in.Hg (1007 mB),84 %,"1,994 ft. (608 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 191200Z 16006MPS 9999 FEW023 BKN053 27/24 Q1007 NOSIG,30.1°C (86.2°F),,,
21,2024-04-19 21:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"11.7 kts (6 m/s, 13.4 mph) South-Southeast (150°)",,Sky clear,29.77 in.Hg (1008 mB),84 %,"1,960 ft. (597 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 191300Z 15006MPS CAVOK 27/24 Q1008 NOSIG,30.1°C (86.2°F),,,
22,2024-04-19 22:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"11.7 kts (6 m/s, 13.4 mph) South-Southeast (160°)",,Sky clear,29.77 in.Hg (1008 mB),84 %,"1,960 ft. (597 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 191400Z 16006MPS CAVOK 27/24 Q1008 NOSIG,30.1°C (86.2°F),,,
23,2024-04-19 23:00:00,27.0°C (80.6°F),23.0°C (73.4°F),"9.7 kts (5 m/s, 11.2 mph) South-Southeast (150°)",,Sky clear,29.77 in.Hg (1008 mB),79 %,"1,938 ft. (591 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 191500Z 15005MPS CAVOK 27/23 Q1008 NOSIG,29.7°C (85.5°F),,,
24,2024-04-20 00:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"9.7 kts (5 m/s, 11.2 mph) South-Southeast (160°)",,Sky clear,29.77 in.Hg (1008 mB),84 %,"1,960 ft. (597 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 191600Z 16005MPS CAVOK 27/24 Q1008 NOSIG,30.1°C (86.2°F),,,
25,2024-04-20 01:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"9.7 kts (5 m/s, 11.2 mph) South-Southeast (160°)",,Sky clear,29.74 in.Hg (1007 mB),0.84,"1,994 ft. (608 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 191700Z 16005MPS CAVOK 27/24 Q1007 NOSIG,30.1°C (86.2°F),,,
26,2024-04-20 02:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"11.7 kts (6 m/s, 13.4 mph) South-Southeast (160°)",,Sky clear,29.71 in.Hg (1006 mB),84 %,"2,028 ft. (618 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 191800Z 16006MPS CAVOK 27/24 Q1006 NOSIG,30.1°C (86.2°F),,,
27,2024-04-20 03:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"11.7 kts (6 m/s, 13.4 mph) Southeast (140°)",,Sky clear,29.71 in.Hg (1006 mB),84 %,"2,028 ft. (618 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,GSZ 191900Z 14006MPS CAVOK 27/24 Q1006 NOSIG,30.1°C (86.2°F),,,
28,2024-04-20 04:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"7.8 kts (4 m/s, 8.9 mph) Southeast (130°)",,Sky clear,29.71 in.Hg (1006 mB),84 %,"2,028 ft. (618 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 192000Z 13004MPS CAVOK 27/24 Q1006 NOSIG,30.1°C (86.2°F),,,
29,2024-04-20 05:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"7.8 kts (4 m/s, 8.9 mph) Southeast (140°)",6.2 mi. (10 km),"Ceiling: Broken clouds 5,000 ft. (1,524 m)",29.71 in.Hg (1006 mB),84 %,"2,028 ft. (618 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 192100Z 14004MPS 9999 BKN050 27/24 Q1006 NOSIG,30.1°C (86.2°F),,,
30,2024-04-20 06:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"9.7 kts (5 m/s, 11.2 mph) South-Southeast (150°)",6.2 mi. (10 km),"Ceiling: Broken clouds 5,000 ft. (1,524 m)",29.71 in.Hg (1006 mB),84 %,"2,028 ft. (618 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 192200Z 15005MPS 9999 BKN050 27/24 Q1006 NOSIG,30.1°C (86.2°F),,,
31,2024-04-20 07:00:00,27.0°C (80.6°F),24.0°C (75.2°F),"11.7 kts (6 m/s, 13.4 mph) South-Southeast (150°)",6.2 mi. (10 km),"Scattered clouds 5,000 ft. (1,524 m)",29.74 in.Hg (1007 mB),84 %,"1,994 ft. (608 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 192300Z 15006MPS 9999 SCT050 27/24 Q1007 NOSIG,30.1°C (86.2°F),,,
32,2024-04-20 08:00:00,29.0°C (84.2°F),24.0°C (75.2°F),"11.7 kts (6 m/s, 13.4 mph) South-Southeast (150°)",6.2 mi. (10 km),"Few clouds 2,000 ft. (610 m) Scattered clouds 5,000 ft. (1,524 m)",29.74 in.Hg (1007 mB),75 %,"2,217 ft. (676 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 200000Z 15006MPS 9999 FEW020 SCT050 29/24 Q1007 NOSIG,33.7°C (92.7°F),,,
33,2024-04-20 09:00:00,29.0°C (84.2°F),24.0°C (75.2°F),"13.6 kts (7 m/s, 15.7 mph) South (170°)",6.2 mi. (10 km),"Few clouds 2,300 ft. (701 m) Scattered clouds 4,000 ft. (1,219 m)",29.77 in.Hg (1008 mB),75 %,"2,184 ft. (666 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 200100Z 17007MPS 9999 FEW023 SCT040 29/24 Q1008 NOSIG,33.7°C (92.7°F),,,
34,2024-04-20 10:00:00,28.0°C (82.4°F),24.0°C (75.2°F),"13.6 kts (7 m/s, 15.7 mph) South (170°)",6.2 mi. (10 km),"Few clouds 2,300 ft. (701 m) Ceiling: Broken clouds 5,000 ft. (1,524 m)",29.80 in.Hg (1009 mB),79 %,"2,038 ft. (621 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 200200Z 17007MPS 9999 FEW023 BKN050 28/24 Q1009 NOSIG,32.0°C (89.6°F),,,
35,2024-04-20 11:00:00,26.0°C (78.8°F),25.0°C (77.0°F),"5 kts (2.6 m/s, 5.8 mph) South (190°)",6.2 mi. (10 km),"Scattered clouds 2,300 ft. (701 m) Ceiling: Broken clouds 4,300 ft. (1,311 m)",29.80 in.Hg (1009 mB),94 %,"1,837 ft. (560 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 200300Z 19005G10MPS 9999 SCT023 BKN043 26/25 Q1009 NOSIG,,,"19.4 kts (10 m/s, 22.4 mph)",
36,2024-04-20 12:00:00,27.0°C (80.6°F),25.0°C (77.0°F),"13.6 kts (7 m/s, 15.7 mph) South (170°)",6.2 mi. (10 km),"Scattered clouds 1,800 ft. (549 m) Few clouds with cumulonimbus 2,700 ft. (823 m) Ceiling: Broken clouds 4,300 ft. (1,311 m)",29.77 in.Hg (1008 mB),89 %,"1,984 ft. (605 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 200400Z 17007MPS 9999 SCT018 FEW027CB BKN043 27/25 Q1008 NOSIG,30.6°C (87.0°F),,,
37,2024-04-20 13:00:00,27.0°C (80.6°F),25.0°C (77.0°F),"11.7 kts (6 m/s, 13.4 mph) South-Southeast (160°)",6.2 mi. (10 km),"Few clouds 1,800 ft. (549 m) Ceiling: Overcast 4,000 ft. (1,219 m)",29.74 in.Hg (1007 mB),89 %,"2,017 ft. (615 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 200500Z 16006MPS 9999 FEW018 OVC040 27/25 Q1007 NOSIG,30.6°C (87.0°F),,,
38,2024-04-20 14:00:00,28.0°C (82.4°F),25.0°C (77.0°F),"13.6 kts (7 m/s, 15.7 mph) South (170°)",6.2 mi. (10 km),"Few clouds 1,800 ft. (549 m) Ceiling: Overcast 4,000 ft. (1,219 m)",29.71 in.Hg (1006 mB),84 %,"2,163 ft. (659 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 200600Z 17007MPS 9999 FEW018 OVC040 28/25 Q1006 NOSIG,32.7°C (90.9°F),,,
39,2024-04-20 15:00:00,28.0°C (82.4°F),25.0°C (77.0°F),"11.7 kts (6 m/s, 13.4 mph) South-Southeast (160°)",6.2 mi. (10 km),"Few clouds 1,800 ft. (549 m) Ceiling: Overcast 5,000 ft. (1,524 m)",29.71 in.Hg (1006 mB),84 %,"2,163 ft. (659 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 200700Z 16006MPS 9999 FEW018 OVC050 28/25 Q1006 NOSIG,32.7°C (90.9°F),,,
40,2024-04-20 16:00:00,28.0°C (82.4°F),24.0°C (75.2°F),"9.7 kts (5 m/s, 11.2 mph) South-Southeast (150°)",6.2 mi. (10 km),"Few clouds 1,800 ft. (549 m) Few clouds with cumulonimbus 2,700 ft. (823 m) Ceiling: Broken clouds 5,000 ft. (1,524 m)",29.68 in.Hg (1005 mB),79 %,"2,174 ft. (663 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 200800Z 15005MPS 9999 VCTS FEW018 FEW027CB BKN050 28/24 Q1005 NOSIG,32.0°C (89.6°F),Thunderstorms in the vicinity,,
41,2024-04-20 17:00:00,24.0°C (75.2°F),21.0°C (69.8°F),"4 kts (2.1 m/s, 4.6 mph) Vrb",3.7 mi. (6 km),"Scattered clouds 1,500 ft. (457 m) Few clouds with cumulonimbus 2,700 ft. (823 m) Ceiling: Broken clouds 4,000 ft. (1,219 m)",29.71 in.Hg (1006 mB),83 %,"1,625 ft. (495 m)",,Marginal Visual Meteorological Conditions,ZGSZ 200900Z 35004G09MPS 300V080 6000 +SHRA SCT015 FEW027CB BKN040 24/21 Q1006 BECMG AT0940 -SHRA,,Heavy rain showers,"17.5 kts (9 m/s, 20.1 mph)",Winds variable from West-Northwest (300°) to East (80°)
42,2024-04-20 18:00:00,22.0°C (71.6°F),21.0°C (69.8°F),"15.6 kts (8 m/s, 17.9 mph) North-Northeast (30°)",5 mi. (8 km),"Scattered clouds 1,500 ft. (457 m) Few clouds with cumulonimbus 2,700 ft. (823 m) Ceiling: Broken clouds 4,000 ft. (1,219 m)",29.74 in.Hg (1007 mB),94 %,"1,363 ft. (415 m)",No significant changes expected in the next two hours,Marginal Visual Meteorological Conditions,ZGSZ 201000Z 03008MPS 8000 +TSRA SCT015 FEW027CB BKN040 22/21 Q1007 NOSIG,,Heavy thunderstorm with rain,,
43,2024-04-20 19:00:00,22.0°C (71.6°F),21.0°C (69.8°F),"9.7 kts (5 m/s, 11.2 mph) Vrb",4.3 mi. (7 km),"Scattered clouds 1,500 ft. (457 m) Few clouds with cumulonimbus 2,700 ft. (823 m) Ceiling: Broken clouds 4,000 ft. (1,219 m)",29.77 in.Hg (1008 mB),94 %,"1,329 ft. (405 m)",No significant changes expected in the next two hours,Marginal Visual Meteorological Conditions,ZGSZ 201100Z 04005MPS 020V080 7000 TSRA SCT015 FEW027CB BKN040 22/21 Q1008 NOSIG,,Thunderstorm with rain,,Winds variable from North-Northeast (20°) to East (80°)
44,2024-04-20 20:00:00,22.0°C (71.6°F),21.0°C (69.8°F),"15.6 kts (8 m/s, 17.9 mph) Northeast (40°)",4.3 mi. (7 km),"Scattered clouds 1,500 ft. (457 m) Few clouds with cumulonimbus 2,700 ft. (823 m) Ceiling: Broken clouds 4,000 ft. (1,219 m)",29.83 in.Hg (1010 mB),94 %,"1,261 ft. (384 m)",,Marginal Visual Meteorological Conditions,ZGSZ 201200Z 04008MPS 7000 -TSRA SCT015 FEW027CB BKN040 22/21 Q1010 RESHRA BECMG AT1230 +TSRA,,"Light thunderstorm with rain, recent rain showers",,
45,2024-04-20 21:00:00,22.0°C (71.6°F),21.0°C (69.8°F),"11.7 kts (6 m/s, 13.4 mph) Northeast (40°)",3.7 mi. (6 km),"Scattered clouds 1,500 ft. (457 m) Few clouds with cumulonimbus 2,700 ft. (823 m) Ceiling: Broken clouds 4,000 ft. (1,219 m)",29.83 in.Hg (1010 mB),94 %,"1,261 ft. (384 m)",No significant changes expected in the next two hours,Marginal Visual Meteorological Conditions,ZGSZ 201300Z 04006MPS 6000 -TSRA SCT015 FEW027CB BKN040 22/21 Q1010 RESHRA NOSIG,,"Light thunderstorm with rain, recent rain showers",,
46,2024-04-20 22:00:00,22.0°C (71.6°F),21.0°C (69.8°F),"9.7 kts (5 m/s, 11.2 mph) Vrb",6.2 mi. (10 km),"Scattered clouds 1,500 ft. (457 m) Few clouds with cumulonimbus 2,700 ft. (823 m) Ceiling: Broken clouds 5,000 ft. (1,524 m)",29.80 in.Hg (1009 mB),94 %,"1,295 ft. (395 m)",,Visual Meteorological Conditions,ZGSZ 201400Z 09005MPS 050V160 9999 -TSRA SCT015 FEW027CB BKN050 22/21 Q1009 BECMG AT1440 -SHRA,,Light thunderstorm with rain,,Winds variable from Northeast (50°) to South-Southeast (160°)
47,2024-04-20 23:00:00,23.0°C (73.4°F),21.0°C (69.8°F),"7.8 kts (4 m/s, 8.9 mph) Vrb",6.2 mi. (10 km),"Scattered clouds 1,500 ft. (457 m)",29.80 in.Hg (1009 mB),89 %,"1,410 ft. (430 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 201500Z 09004MPS 070V130 9999 SCT015 23/21 Q1009 NOSIG,,,,Winds variable from East-Northeast (70°) to Southeast (130°)
48,2024-04-21 00:00:00,23.0°C (73.4°F),21.0°C (69.8°F),"5.8 kts (3 m/s, 6.7 mph) Vrb",6.2 mi. (10 km),"Scattered clouds 1,500 ft. (457 m)",29.77 in.Hg (1008 mB),89 %,"1,443 ft. (440 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 201600Z 06003MPS 030V110 9999 SCT015 23/21 Q1008 NOSIG,,,,Winds variable from North-Northeast (30°) to East-Southeast (110°)
49,2024-04-21 01:00:00,23.0°C (73.4°F),21.0°C (69.8°F),"3.9 kts (2 m/s, 4.5 mph) Vrb",,Sky clear,29.77 in.Hg (1008 mB),89 %,"1,443 ft. (440 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 201700Z 08002MPS 050V120 CAVOK 23/21 Q1008 NOSIG,,,,Winds variable from Northeast (50°) to East-Southeast (120°)
50,2024-04-21 02:00:00,23.0°C (73.4°F),21.0°C (69.8°F),"3.9 kts (2 m/s, 4.5 mph) Vrb",6.2 mi. (10 km),"Few clouds 3,300 ft. (1,006 m)",29.74 in.Hg (1007 mB),89 %,"1,477 ft. (450 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 201800Z 02002MPS 320V070 9999 FEW033 23/21 Q1007 NOSIG,,,,Winds variable from Northwest (320°) to East-Northeast (70°)
51,2024-04-21 03:00:00,23.0°C (73.4°F),21.0°C (69.8°F),"5.8 kts (3 m/s, 6.7 mph) Vrb",6.2 mi. (10 km),"Few clouds 3,300 ft. (1,006 m)",29.74 in.Hg (1007 mB),89 %,"1,477 ft. (450 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 201900Z 03003MPS 330V040 9999 FEW033 23/21 Q1007 NOSIG,,,,Winds variable from North-Northwest (330°) to Northeast (40°)
52,2024-04-21 04:00:00,24.0°C (75.2°F),21.0°C (69.8°F),"5.8 kts (3 m/s, 6.7 mph) Vrb",6.2 mi. (10 km),"Few clouds 3,300 ft. (1,006 m)",29.74 in.Hg (1007 mB),83 %,"1,591 ft. (485 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 202000Z 08003MPS 030V130 9999 FEW033 24/21 Q1007 NOSIG,,,,Winds variable from North-Northeast (30°) to Southeast (130°)
53,2024-04-21 05:00:00,24.0°C (75.2°F),21.0°C (69.8°F),"13.6 kts (7 m/s, 15.7 mph) East-Southeast (110°)",,Sky clear,29.71 in.Hg (1006 mB),83 %,"1,625 ft. (495 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 202100Z 11007MPS CAVOK 24/21 Q1006 NOSIG,,,,
54,2024-04-21 06:00:00,24.0°C (75.2°F),21.0°C (69.8°F),"9.7 kts (5 m/s, 11.2 mph) East-Southeast (120°)",,Sky clear,29.74 in.Hg (1007 mB),83 %,"1,591 ft. (485 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 202200Z 12005MPS CAVOK 24/21 Q1007 NOSIG,,,,
55,2024-04-21 07:00:00,24.0°C (75.2°F),21.0°C (69.8°F),"9.7 kts (5 m/s, 11.2 mph) East-Southeast (110°)",,Sky clear,29.71 in.Hg (1006 mB),83 %,"1,625 ft. (495 m)",Ceiling and visibility OK No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 202300Z 11005MPS CAVOK 24/21 Q1006 NOSIG,,,,
56,2024-04-21 08:00:00,24.0°C (75.2°F),22.0°C (71.6°F),"9.7 kts (5 m/s, 11.2 mph) East (100°)",6.2 mi. (10 km),"Few clouds with cumulonimbus 2,000 ft. (610 m)",29.77 in.Hg (1008 mB),89 %,"1,577 ft. (481 m)",No significant changes expected in the next two hours,Visual Meteorological Conditions,ZGSZ 210000Z 10005MPS 9999 FEW020CB 24/22 Q1008 NOSIG,,,,
