flightDate,flightNo,regNo,status,destAirportName,ptd,atd,depDelayTime,depTerminal,gate,eta
2024-04-19,Y87525,B1577,到达,济南遥墙,06:35,06:47,延误12,T3,568A,09:03
2024-04-19,CZ6443,B1690,到达,海口美兰,06:40,06:47,延误7,T3,54,07:40
2024-04-19,DZ6261,B7300,到达,海口美兰,06:35,06:51,延误16,T3,540,07:48
2024-04-19,Y87529,B1313,到达,郑州新郑,06:50,06:52,延误2,T3,549B,09:00
2024-04-19,HU7876,B1100,到达,西安咸阳,23:50,06:52,延误422,T3,41,09:49
2024-04-19,HO1945,B8408,到达,丽江三义,06:50,06:54,延误4,T3,28,09:36
2024-04-19,HU7851,B5625,到达,乌鲁木齐地窝堡,06:40,06:55,延误15,T3,543,12:03
2024-04-19,CZ6849,B1845,到达,杭州萧山,06:55,06:56,延误1,T3,542,08:28
2024-04-19,HU7739,B1102,到达,汉中城固,06:40,06:58,延误18,T3,26,09:28
2024-04-19,HU7751,B7616,到达,徐州观音,06:25,07:00,延误35,T3,40,09:01
2024-04-19,HU7735,B5581,到达,榆林榆阳,06:50,07:02,延误12,T3,34,09:37
2024-04-19,9C8527,B9920,到达,遵义新舟,06:45,07:05,延误20,T3,47,09:03
2024-04-19,HU7743,B5371,到达,南京禄口,06:50,07:06,延误16,T3,505B,09:06
2024-04-19,3U3651,B1822,到达,西昌青山,06:55,07:08,延误13,T3,541,09:21
2024-04-19,DZ6203,B1590,到达,宜昌三峡,06:55,07:11,延误16,T3,32,08:44
2024-04-19,ZH9911,B32CF,到达,青岛胶东,07:05,07:12,延误7,T3,69,09:57
2024-04-19,CZ3649,B30E6,到达,兰州中川,06:45,07:13,延误28,T3,66,10:24
2024-04-19,CZ8611,B30AA,到达,西双版纳嘎洒,07:05,07:13,延误8,T3,73,09:43
2024-04-19,ZH9229,B8633,到达,银川河东,07:05,07:16,延误11,T3,77,09:58
2024-04-19,CZ3625,B8363,到达,上海虹桥,07:00,07:18,延误18,T3,65,09:02
2024-04-19,ZH9637,B224Y,到达,长春龙嘉,07:00,07:20,延误20,T3,506,11:26
2024-04-19,ZH8969,B6286,到达,丽江三义,07:10,07:20,延误10,T3,63,09:58
2024-04-19,CZ3457,B6661,到达,成都天府,07:00,07:23,延误23,T3,64,09:35
2024-04-19,DZ6265,B1533,到达,昆明长水,06:25,07:25,延误60,T3,50A,09:27
2024-04-19,HU743,B1546,到达,特拉维夫本古里安国际,05:55,07:26,延误91,T3,10,13:13
2024-04-19,ZH9801,B32DS,到达,无锡硕放,07:20,07:27,延误7,T3,530,09:18
2024-04-19,HU7157,B5481,到达,重庆江北,07:15,07:29,延误14,T3,522,09:42
2024-04-19,ZH9025,B5771,到达,新加坡樟宜,07:10,07:30,延误20,T3,5,11:02
2024-04-19,9C8956,B322P,到达,上海虹桥,07:15,07:30,延误15,T3,76,09:15
2024-04-19,ZH9137,B5413,到达,石家庄正定,07:20,07:31,延误11,T3,72,10:09
2024-04-19,HU7702,B1342,到达,北京首都,07:10,07:33,延误23,T3,71,10:03
2024-04-19,ZH9837,B32DT,到达,南京禄口,07:25,07:35,延误10,T3,566A,09:19
2024-04-19,ZH9235,B1016,到达,西宁曹家堡,07:20,07:37,延误17,T3,62B,10:49
2024-04-19,CA4368,B5426,到达,重庆江北,07:25,07:38,延误13,T3,66,09:57
2024-04-19,ZH9873,B5772,到达,杭州萧山,07:20,07:40,延误20,T3,60,09:14
2024-04-19,HU7731,B5853,到达,郑州新郑,07:25,07:41,延误16,T3,510A,10:05
2024-04-19,HU7767,B1135,到达,昆明长水,07:30,07:41,延误11,T3,42,09:36
2024-04-19,CZ3171,B8997,到达,北京大兴,07:30,07:43,延误13,T3,25,10:36
2024-04-19,HO1890,B20EQ,到达,上海虹桥,07:30,07:44,延误14,T3,546,09:32
2024-04-19,ZH9957,B6358,到达,宜宾五粮液,07:40,07:46,延误6,T3,65,10:48
2024-04-19,ZH9501,B6563,到达,上海浦东,07:45,07:48,延误3,T3,41,09:46
2024-04-19,ZH9311,B6740,到达,海口美兰,07:35,07:49,延误14,T3,521,08:47
2024-04-19,ZH9101,B1072,到达,北京首都,07:30,07:50,延误20,T3,20,10:26
2024-04-19,ZH9321,B6377,到达,三亚凤凰,07:40,07:51,延误11,T3,64,09:03
2024-04-19,HU7769,B5661,到达,温州龙湾,07:35,07:52,延误17,T3,48,09:16
2024-04-19,GJ8683,B8320,到达,恩施许家坪,07:45,07:53,延误8,T3,565,09:44
2024-04-19,DZ6229,B1770,到达,舟山普陀山,07:50,07:56,延误6,T3,520,09:48
2024-04-19,CZ6253,B6912,到达,海口美兰,07:50,07:59,延误9,T3,46,09:01
2024-04-19,HU7175,B1503,到达,成都天府,07:55,08:00,延误5,T3,73,10:06
2024-04-19,CZ5149,B1653,到达,大理凤仪,07:55,08:01,延误6,T3,50B,10:24
2024-04-19,CZ3911,B30EZ,到达,武汉天河,08:00,08:05,延误5,T3,549A,09:40
2024-04-19,ZH9893,B1711,到达,合肥新桥,07:45,08:09,延误24,T3,77,09:52
2024-04-19,HU7721,B6527,到达,上海浦东,07:40,08:10,延误30,T3,503,10:07
2024-04-19,CZ3569,B6379,到达,杭州萧山,08:00,08:15,延误15,T3,547B,09:47
2024-04-19,CZ3213,B5940,到达,西安咸阳,08:00,08:22,延误22,T3,560,10:45
2024-04-19,CZ6847,B6356,到达,黄山屯溪,08:10,08:24,延误14,T3,71,09:49
2024-04-19,ZH9451,B1476,到达,昆明长水,07:55,08:25,延误30,T3,69,10:24
2024-04-19,ZH9409,B207D,到达,成都双流,08:30,08:42,延误12,T3,529B,10:48
2024-04-19,ZH9317,B206M,到达,郑州新郑,08:15,08:45,延误30,T3,72,11:06
2024-04-19,A67227,B321U,到达,南京禄口,08:25,08:49,延误24,T3,39,10:39
2024-04-19,CA4330,B6497,到达,成都天府,08:05,08:52,延误47,T3,78,11:03
2024-04-19,ZH8013,B5778,到达,河内内排国际,08:15,08:56,延误41,T3,10,09:30
2024-04-19,CZ3613,B6378,到达,长春龙嘉,08:20,08:57,延误37,T3,66,13:08
2024-04-19,KY8272,B1926,到达,昆明长水,08:25,08:59,延误34,T3,505A,11:01
2024-04-19,ZH9931,B6856,到达,常州奔牛,08:30,09:00,延误30,T3,544,10:56
2024-04-19,CA1334,B2031,到达,北京首都,08:25,09:05,延误40,T3,37,11:49
2024-04-19,HU7028,B206H,到达,海口美兰,08:50,09:07,延误17,T3,54,10:07
2024-04-19,ZH9929,B207E,到达,临沂启阳,08:55,09:07,延误12,T3,29,11:15
2024-04-19,HU7870,B5372,到达,西安咸阳,08:55,09:08,延误13,T3,507B,11:30
2024-04-19,CZ3965,B1062,到达,上海虹桥,08:00,09:11,延误71,T3,21,10:58
2024-04-19,CZ8581,B9917,到达,丽江三义,08:30,09:12,延误42,T3,30,11:45
2024-04-19,ZH9209,B32CG,到达,西安咸阳,09:05,09:13,延误8,T3,502,11:33
2024-04-19,ZH9503,B1036,到达,上海虹桥,08:05,09:19,延误74,T3,523,11:06
2024-04-19,CZ8579,B9915,到达,泸州云龙,09:15,09:22,延误7,T3,564,11:13
2024-04-19,ZH9523,B6567,到达,上海浦东,08:25,09:23,延误58,T3,509,11:16
2024-04-19,Y87531,B1992,到达,杭州萧山,09:15,09:25,延误10,T3,24,11:10
2024-04-19,ZH9925,B1160,到达,青岛胶东,08:10,09:27,延误77,T3,59,12:03
2024-04-19,CZ8677,B1697,到达,延安南泥湾,08:10,09:28,延误78,T3,33,11:59
2024-04-19,HU7393,B1343,到达,杭州萧山,08:35,09:30,延误55,T3,65,10:58
2024-04-19,CZ3151,B6353,到达,北京大兴,08:30,09:32,延误62,T3,35,12:28
2024-04-19,CZ3089,B30F8,到达,首尔仁川国际,08:35,09:36,延误61,T3,4,13:33
2024-04-19,DZ6237,B224A,到达,南通兴东,09:20,09:38,延误18,T3,547A,11:33
2024-04-19,DZ6233,B204N,到达,杭州萧山,09:00,09:41,延误41,T3,69,11:28
2024-04-19,CZ3465,B8366,到达,重庆江北,08:10,09:42,延误92,T3,24,11:46
2024-04-19,CZ3978,B30EY,到达,三亚凤凰,09:25,09:47,延误22,T3,505B,11:03
2024-04-19,ZH9045,B1755,到达,金边国际,09:35,09:52,延误17,T3,8,11:14
2024-04-19,GJ8899,B325X,到达,杭州萧山,09:45,09:53,延误8,T3,569B,11:36
2024-04-19,CZ3459,B6209,到达,昆明长水,09:15,09:55,延误40,T3,66,12:02
2024-04-19,CZ3559,B32DG,到达,南京禄口,09:30,09:58,延误28,T3,64,11:48
2024-04-19,DZ6205,B224C,到达,成都天府,08:15,10:00,延误105,T3,568B,12:18
2024-04-19,CZ6445,B1806,到达,常德桃花源,08:45,10:03,延误78,T3,77,11:31
2024-04-19,ZH9129,B1758,到达,武汉天河,08:50,10:04,延误74,T3,31,11:44
2024-04-19,3U8710,B6445,到达,成都双流,08:20,10:05,延误105,T3,501,12:17
2024-04-19,CZ3087,B8870,到达,台北桃园,09:30,10:08,延误38,T3,11,11:23
2024-04-19,ZH9009,B6855,到达,曼谷素万那普国际,09:40,10:10,延误30,T3,5,11:43
2024-04-19,ZH9421,B1376,到达,重庆江北,08:20,10:13,延误113,T3,508,12:22
2024-04-19,3U8272,B1819,到达,昆明长水,09:55,10:15,延误20,T3,46,12:16
2024-04-19,9C8918,B323N,到达,上海虹桥,10:05,10:16,延误11,T3,543,12:08
2024-04-19,ZH9337,B8665,到达,襄阳刘集,10:05,10:19,延误14,T3,63,12:16
2024-04-19,DZ6239,B1462,到达,成都天府,09:05,10:27,延误82,T3,53,12:36
2024-04-19,ZH9887,B7750,到达,合肥新桥,08:40,10:33,延误113,T3,569A,12:20
2024-04-19,DZ6211,B1575,到达,庆阳西峰,10:05,10:35,延误30,T3,507A,13:05
2024-04-19,CZ8735,B30ED,到达,青岛胶东,09:05,10:37,延误92,T3,71,13:15
2024-04-19,DZ6269,B1159,到达,宜昌三峡,10:05,10:41,延误36,T3,66,12:17
2024-04-19,ZH8209,B8667,到达,贵阳龙洞堡,08:25,10:48,延误143,T3,64,12:15
2024-04-19,ZH9131,B5859,到达,太原武宿,10:10,10:50,延误40,T3,45,13:22
2024-04-19,ZH8965,B1479,到达,宁波栎社,08:45,10:53,延误128,T3,63,12:28
2024-04-19,ZH9415,B6690,到达,成都双流,08:30,10:56,延误146,T3,561,13:02
2024-04-19,CZ6591,B5928,到达,宁波栎社,08:50,10:58,延误128,T3,23,12:40
2024-04-19,CZ6233,B30FX,到达,广元盘龙,08:35,11:03,延误148,T3,36,13:28
2024-04-19,DZ6281,B7631,到达,荆州沙市,10:50,11:06,延误16,T3,549B,12:46
2024-04-19,MF8384,B6889,到达,杭州萧山,10:20,11:08,延误48,T3,567,12:49
2024-04-19,ZH9233,B6570,到达,西宁曹家堡,08:40,11:11,延误151,T3,570,14:32
2024-04-19,CZ3351,B1626,到达,常州奔牛,09:55,11:13,延误78,T3,32,13:07
2024-04-19,ZH9623,B6691,到达,哈尔滨太平,10:10,11:15,延误65,T3,71,15:20
2024-04-19,CZ3553,B324S,到达,上海虹桥,09:00,11:17,延误137,T3,38,13:05
2024-04-19,MU5336,B6099,到达,上海虹桥,10:30,11:21,延误51,T3,72,13:14
2024-04-19,CZ3565,B2285,到达,合肥新桥,10:20,11:27,延误67,T3,548,13:15
2024-04-19,ZH9455,B1477,到达,昆明长水,11:10,11:29,延误19,T3,39,13:36
2024-04-19,HU7704,B1133,到达,北京首都,10:30,11:30,延误60,T3,73,14:16
2024-04-19,DZ6257,B1705,到达,南京禄口,10:00,11:34,延误94,T3,73,13:26
2024-04-19,ZH9901,B32DU,到达,济南遥墙,09:10,11:44,延误154,T3,55,13:58
2024-04-19,AK127,9MRAH,到达,吉隆坡国际,11:25,11:46,延误21,,2,15:29
2024-04-19,ZH9141,B6360,到达,运城盐湖,09:05,11:48,延误163,T3,69,14:33
2024-04-19,CZ8711,B8360,到达,杭州萧山,10:30,11:50,延误80,T3,77,13:31
2024-04-19,DZ6217,B7300,到达,无锡硕放,10:55,11:54,延误59,T3,26,13:56
2024-04-19,CZ5795,B30DG,到达,乌鲁木齐地窝堡,09:10,12:13,延误183,T3,34,17:34
2024-04-19,CZ3255,B8365,到达,上海虹桥,11:00,12:16,延误76,T3,504,14:11
2024-04-19,ZH9231,B8693,到达,银川河东,09:25,12:20,延误175,T3,65,15:21
2024-04-19,ZH9505,B307M,到达,上海浦东,09:15,12:26,延误191,T3,528B,14:40
2024-04-19,ZH9033,B7083,到达,首尔仁川国际,09:10,12:31,延误201,T3,1,16:39
2024-04-19,Y87578,B5692,到达,上海浦东,11:50,12:38,延误48,T3,33,14:46
2024-04-19,MU5762,B1788,到达,昆明长水,12:25,12:42,延误17,T3,64,14:42
2024-04-19,TK6215,TCJDP,到达,比什凯克玛纳斯,04:40,12:47,延误487,,待定,17:17
2024-04-19,HU7723,B6539,到达,上海浦东,12:30,12:51,延误21,T3,563,14:52
2024-04-19,CA1308,B5918,到达,北京首都,11:30,12:59,延误89,T3,524,15:54
2024-04-19,ZH9805,B5381,到达,无锡硕放,10:10,13:03,延误173,T3,51,15:06
2024-04-19,CZ5145,B1616,到达,大连周水子,09:30,13:07,延误217,T3,27,16:17
2024-04-19,MF8623,B7819,到达,衢州,09:20,13:17,延误237,T3,76,14:43
2024-04-19,3U8208,B8325,到达,玉林福绵,13:15,13:21,延误6,T3,567,14:26
2024-04-19,CZ6385,B1880,到达,沈阳桃仙,09:10,13:29,延误259,T3,72,17:01
2024-04-19,CZ3876,B5719,到达,义乌,11:05,13:34,延误149,T3,544,15:29
2024-04-19,CZ6095,B6687,到达,胡志明市新山一国际,11:40,13:38,延误118,T3,10,15:00
2024-04-19,9C7549,B1627,到达,宁波栎社,12:50,13:42,延误52,T3,570,15:17
2024-04-19,ZH9601,B206Y,到达,沈阳桃仙,09:05,13:47,延误282,T3,510B,17:10
2024-04-19,ZH9839,B1973,到达,南京禄口,10:45,13:51,延误186,T3,525,15:26
2024-04-19,CZ6621,B6630,到达,西安咸阳,10:00,14:15,延误255,T3,521,16:42
2024-04-19,CZ6755,B6910,到达,上海浦东,09:35,14:21,延误286,T3,42,16:57
2024-04-19,MU5760,B6145,到达,昆明长水,13:25,14:25,延误60,T3,549B,16:24
2024-04-19,MU5338,B8559,到达,上海虹桥,12:05,14:28,延误143,T3,66,16:32
2024-04-19,ZH9023,B8635,到达,新加坡樟宜,12:40,14:30,延误110,T3,7,18:12
2024-04-19,HO1882,B1115,到达,上海虹桥,11:20,14:33,延误193,T3,546,16:30
2024-04-19,CZ3175,B5939,到达,北京大兴,09:30,14:35,延误305,T3,22,17:28
2024-04-19,ZH9629,B309Q,到达,扬州泰州,12:30,14:38,延误128,T3,77,16:39
2024-04-19,ZH9237,B8636,到达,兰州中川,10:05,14:41,延误276,T3,528A,17:42
2024-04-19,PN6333,B321S,到达,济南遥墙,13:00,14:43,延误103,T3,545B,17:03
2024-04-19,ZH9103,B5618,到达,北京首都,10:00,14:46,延误286,T3,527,17:45
2024-04-19,KE828,HL7540,到达,首尔仁川国际,12:45,14:47,延误122,,3,18:59
2024-04-19,HU7026,B1102,到达,海口美兰,14:05,14:50,延误45,T3,55,15:54
2024-04-19,FM9332,B5315,到达,上海虹桥,13:05,14:57,延误112,T3,30,16:56
2024-04-19,CZ5819,B6659,到达,天津滨海,09:35,14:59,延误324,T3,25,18:01
2024-04-19,ZH9645,B1516,到达,南昌昌北,09:50,15:01,延误311,T3,69,16:24
2024-04-19,ZH9807,B1713,到达,无锡硕放,11:35,15:03,延误208,T3,566A,17:03
2024-04-19,ZH9323,B6286,到达,三亚凤凰,14:35,15:05,延误30,T3,525,16:25
2024-04-19,CZ3797,B1846,到达,杭州萧山,11:30,15:08,延误218,T3,41,17:00
2024-04-19,ZH9913,B300N,到达,青岛胶东,10:05,15:11,延误306,T3,61A,17:48
2024-04-19,3U8702,B1057,到达,成都双流,10:20,15:14,延误294,T3,47,17:27
2024-04-19,CZ8697,B32GH,到达,三亚凤凰,14:55,15:18,延误23,T3,548,16:32
2024-04-19,CZ8764,B5042,到达,郑州新郑,10:20,15:21,延误301,T3,44,17:50
2024-04-19,HU7745,B5520,到达,徐州观音,14:50,15:25,延误35,T3,565,17:28
2024-04-19,3U8782,B9936,到达,重庆江北,10:25,15:27,延误302,T3,530,17:28
2024-04-19,ZH9921,B1377,到达,南通兴东,10:10,15:32,延误322,T3,547B,17:27
2024-04-19,9C7039,B6970,到达,武汉天河,09:55,15:33,延误338,T3,52,17:01
2024-04-19,ZH9877,B5615,到达,杭州萧山,11:45,15:35,延误230,T3,62B,17:36
2024-04-19,ZH9067,B303N,到达,伦敦希思罗,13:35,15:38,延误123,T3,11,21:27
2024-04-19,ZH9875,B32DV,到达,杭州萧山,09:45,15:43,延误358,T3,566B,17:39
2024-04-19,ZH9319,B1757,到达,郑州新郑,11:40,15:43,延误243,T3,57,17:40
2024-04-19,CZ8477,B6909,到达,成都天府,10:35,15:48,延误313,T3,65,18:07
2024-04-19,HU7155,B5580,到达,南京禄口,14:30,15:50,延误80,T3,542,17:44
2024-04-19,ZH9603,B309P,到达,沈阳桃仙,12:15,15:53,延误218,T3,72,19:40
2024-04-19,ZH9239,B1146,到达,乌鲁木齐地窝堡,10:35,15:58,延误323,T3,76,21:06
2024-04-19,ZH8951,B6613,到达,温州龙湾,10:25,16:04,延误339,T3,58,17:37
2024-04-19,CZ8717,B6911,到达,武汉天河,10:50,16:07,延误317,T3,545A,17:35
2024-04-19,5X167,N311UP,到达,新加坡樟宜,03:15,16:09,延误774,,待定,19:43
2024-04-19,CZ3551,B6629,到达,上海虹桥,12:00,16:11,延误251,T3,569B,18:04
2024-04-19,CA4344,B1765,到达,重庆江北,14:05,16:13,延误128,T3,510A,18:09
2024-04-19,CZ8469,B6657,到达,河内内排国际,14:55,16:15,延误80,T3,3,16:45
2024-04-19,SC1182,B5651,到达,济南遥墙,10:35,16:17,延误342,T3,43,18:31
2024-04-19,CZ6336,B5021,到达,郑州新郑,11:20,16:19,延误299,T3,48,18:21
2024-04-19,CZ6705,B1409,到达,遵义茅台,10:45,16:24,延误339,T3,541,18:08
2024-04-19,ZH9507,B1017,到达,上海虹桥,12:15,16:25,延误250,T3,23,18:27
2024-04-19,CZ8047,B30E6,到达,新加坡樟宜,15:30,16:27,延误57,T3,11,20:02
2024-04-19,MU2478,B1535,到达,武汉天河,10:55,16:29,延误334,T3,507B,18:03
2024-04-19,CZ8323,B6912,到达,曼谷素万那普国际,16:00,16:30,延误30,T3,6,17:58
2024-04-19,3U3286,B6422,到达,西安咸阳,10:50,16:34,延误344,T3,40,18:54
2024-04-19,MU2868,B306D,到达,南京禄口,12:00,16:36,延误276,T3,54,18:29
2024-04-19,AK1521,9MRAB,到达,哥打京那巴鲁国际,13:40,16:37,延误177,,10,19:25
2024-04-19,CZ5120,B6976,到达,海口美兰,15:10,16:42,延误92,T3,521,17:40
2024-04-19,MF8378,B1915,到达,上海虹桥,13:10,16:44,延误214,T3,507A,18:32
2024-04-19,CZ3169,B8363,到达,北京大兴,11:30,16:48,延误318,T3,563,19:24
2024-04-19,ZH9029,B8633,到达,吉隆坡国际,15:45,16:50,延误65,T3,2,20:37
2024-04-19,CZ3279,B5468,到达,西安咸阳,11:00,16:53,延误353,T3,520,19:15
2024-04-19,CA1738,B5977,到达,杭州萧山,10:55,16:54,延误359,T3,523,18:25
2024-04-19,ZH9133,B1519,到达,太原武宿,12:25,16:57,延误272,T3,49,19:40
2024-04-19,CZ8819,B6379,到达,昆明长水,16:30,16:59,延误29,T3,566A,18:57
2024-04-19,ZH9031,B1602,到达,首尔仁川国际,11:05,17:01,延误356,T3,7,20:48
2024-04-19,CA4338,B32D3,到达,成都双流,12:55,17:02,延误247,T3,24,19:04
2024-04-19,ZH9073,B1476,到达,台北桃园,14:35,17:07,延误152,T3,7,18:26
2024-04-19,ZH8063,B8077,到达,大阪关西国际,11:05,17:08,延误363,T3,11,21:20
2024-04-19,CZ3583,B6339,到达,太原武宿,11:40,17:10,延误330,T3,502,20:01
2024-04-19,ZH8981,B206Z,到达,南京禄口,12:50,17:14,延误264,T3,61B,18:57
2024-04-19,ZH9457,B1016,到达,昆明长水,16:10,17:17,延误67,T3,525,19:19
2024-04-19,CA1394,B2088,到达,北京首都,17:00,17:18,延误18,T3,37,19:53
2024-04-19,ZH9211,B326G,到达,西安咸阳,11:05,17:22,延误377,T3,62A,19:57
2024-04-19,CA1894,B6791,到达,上海浦东,15:05,17:24,延误139,T3,64,19:18
